City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,12.45,75,75,6.69,CA,1692378851
1,new norfolk,-42.7826,147.0587,7.72,92,100,1.83,AU,1692379092
2,port-aux-francais,-49.35,70.2167,1.13,69,94,18.22,TF,1692379092
3,alice springs,-23.7,133.8833,12.9,53,0,25.48,AU,1692378851
4,maksatikha,57.797,35.8825,18.8,75,94,1.86,RU,1692379093
5,acarau,-2.8856,-40.12,30.77,55,2,9.39,BR,1692379093
6,vadso,70.0744,29.7487,13.49,71,75,6.69,NO,1692379093
7,hafar al-batin,28.4328,45.9708,40.32,20,66,9.26,SA,1692379093
8,aktau,43.65,51.2,26.32,64,0,5.83,KZ,1692379093
9,fale old settlement,-9.3852,-171.2468,27.89,81,100,8.12,TK,1692379093
10,bamboo flat,11.7,92.7167,28.05,83,40,2.57,IN,1692379094
11,namibe,-15.1961,12.1522,18.22,80,57,2.02,AO,1692379094
12,san sebastian de la gomera,28.0916,-17.1133,29.65,54,0,3.09,ES,1692379094
13,wailua homesteads,22.0669,-159.378,26.44,89,75,4.12,US,1692379094
14,magdagachi,53.45,125.8,12.12,86,74,1.9,RU,1692379094
15,mineros,-17.1167,-63.2333,34.63,31,3,5.89,BO,1692379094
16,sitka,57.0531,-135.33,13.94,88,100,0.0,US,1692379095
17,waitangi,-43.9535,-176.5597,10.46,82,52,4.47,NZ,1692379095
18,walvis bay,-22.9575,14.5053,14.47,70,12,4.9,NA,1692379095
19,srivardhan,18.0333,73.0167,26.58,83,100,3.89,IN,1692379095
20,adamstown,-25.066,-130.1015,16.92,56,83,10.06,PN,1692378904
21,papatowai,-46.5619,169.4708,6.49,80,69,6.53,NZ,1692379095
22,edinburgh of the seven seas,-37.0676,-12.3116,12.41,71,100,13.22,SH,1692379096
23,panshan,41.1881,122.0494,23.25,94,43,2.77,CN,1692379096
24,sambava,-14.2667,50.1667,22.7,84,0,5.53,MG,1692379096
25,ushuaia,-54.8,-68.3,6.81,53,40,4.12,AR,1692379096
26,portland,45.5234,-122.6762,22.77,59,20,3.09,US,1692379096
27,albany,42.6001,-73.9662,24.36,68,65,0.45,US,1692379096
28,thompson,55.7435,-97.8558,16.09,100,100,1.03,CA,1692379097
29,grytviken,-54.2811,-36.5092,-6.5,74,13,6.51,GS,1692379097
30,port lincoln,-34.7333,135.8667,13.52,79,48,6.41,AU,1692379097
31,ar ruways,24.1103,52.7306,33.34,64,0,4.31,AE,1692378993
